Age,Gender,Occupation,Country,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours,Social_Media_Usage,Diet_Quality,Smoking_Habit,Alcohol_Consumption,split
59,Prefer not to say,Healthcare,Germany,High,7.4,77,3,1.6,Average,Heavy Smoker,Regular Drinker,train
60,Non-binary,IT,Canada,Medium,6.7,65,7,3.9,Unhealthy,Occasional Smoker,Non-Drinker,train
49,Non-binary,Sales,Canada,High,8.0,63,3,5.3,Healthy,Heavy Smoker,Social Drinker,train
37,Male,Healthcare,USA,Low,9.5,39,4,0.8,Healthy,Occasional Smoker,Heavy Drinker,train
35,Female,IT,Other,High,9.1,78,9,2.4,Unhealthy,Heavy Smoker,Heavy Drinker,train
25,Non-binary,Other,Canada,High,7.0,76,4,1.6,Unhealthy,Regular Smoker,Social Drinker,train
34,Non-binary,IT,Canada,High,7.8,46,3,4.4,Unhealthy,Occasional Smoker,Social Drinker,train
44,Male,Other,Germany,High,5.5,80,3,1.2,Healthy,Regular Smoker,Regular Drinker,train
57,Non-binary,Finance,Germany,Medium,4.4,59,10,4.4,Unhealthy,Non-Smoker,Non-Drinker,train
46,Non-binary,IT,USA,High,4.7,65,3,5.9,Healthy,Non-Smoker,Heavy Drinker,train
62,Non-binary,Healthcare,USA,High,4.3,47,3,2.6,Average,Heavy Smoker,Social Drinker,train
61,Male,Other,Other,High,4.5,30,4,4.9,Healthy,Heavy Smoker,Heavy Drinker,train
37,Male,IT,India,High,8.9,66,0,4.6,Average,Regular Smoker,Heavy Drinker,train
54,Male,IT,UK,Medium,5.8,55,10,3.3,Unhealthy,Non-Smoker,Social Drinker,train
56,Prefer not to say,Education,Germany,Medium,8.7,41,0,4.8,Unhealthy,Non-Smoker,Social Drinker,train
52,Female,Other,India,Low,4.5,30,10,2.3,Average,Occasional Smoker,Social Drinker,train
52,Male,Sales,Australia,High,5.6,36,1,4.5,Unhealthy,Occasional Smoker,Heavy Drinker,train
20,Non-binary,Finance,Other,High,5.5,77,3,1.3,Unhealthy,Regular Smoker,Regular Drinker,train
