Age,Gender,Occupation,Country,Sleep_Hours_Scaled,Sleep_Hours_Scaled,Sleep_Hours_Scaled,Work_Hours_Scaled,Work_Hours_Scaled,Work_Hours_Scaled,Physical_Activity_Hours_Scaled,Physical_Activity_Hours_Scaled,Physical_Activity_Hours_Scaled,Social_Media_Usage_Scaled,Social_Media_Usage_Scaled,Social_Media_Usage_Scaled,Diet_Quality_Encoded_Scaled,Diet_Quality_Encoded_Scaled,Diet_Quality_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Stress_Level
59,Prefer not to say,Healthcare,Germany,0.5666666666666668,0.5666666666666668,0.5666666666666668,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
60,Non-binary,IT,Canada,0.45000000000000007,0.45000000000000007,0.45000000000000007,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.6181818181818182,0.6181818181818182,0.6181818181818182,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Medium
49,Non-binary,Sales,Canada,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.66,0.66,0.66,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.8727272727272727,0.8727272727272727,0.8727272727272727,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
37,Male,Healthcare,USA,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.4,0.4,0.4,0.054545454545454564,0.054545454545454564,0.054545454545454564,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,Low
35,Female,IT,Other,0.85,0.85,0.85,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9,0.9,0.9,0.34545454545454546,0.34545454545454546,0.34545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High
25,Non-binary,Other,Canada,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.92,0.92,0.92,0.4,0.4,0.4,0.20000000000000004,0.20000000000000004,0.20000000000000004,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
34,Non-binary,IT,Canada,0.6333333333333332,0.6333333333333332,0.6333333333333332,0.32000000000000006,0.32000000000000006,0.32000000000000006,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.7090909090909091,0.7090909090909091,0.7090909090909091,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,High
44,Male,Other,Germany,0.25,0.25,0.25,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,High
57,Non-binary,Finance,Germany,0.06666666666666676,0.06666666666666676,0.06666666666666676,0.58,0.58,0.58,1.0,1.0,1.0,0.7090909090909091,0.7090909090909091,0.7090909090909091,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
46,Non-binary,IT,USA,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,High
