Age,Gender,Occupation,Country,Sleep_Hours_Scaled,Work_Hours_Scaled,Physical_Activity_Hours_Scaled,Social_Media_Usage_Scaled,Diet_Quality_Encoded_Scaled,Smoking_Habit_Encoded_Scaled,Alcohol_Consumption_Encoded_Scaled,Stress_Level,Cluster
21,Non-binary,Finance,Other,0.1333333333333333,0.14,0.2,0.5272727272727272,0.0,1.0,0.0,Medium,0
24,Non-binary,Finance,USA,0.9166666666666666,0.68,0.5,0.5636363636363636,0.0,0.0,0.3333333333333333,Low,0
52,Female,Sales,Canada,0.1833333333333332,0.6,0.3,0.0909090909090909,1.0,0.6666666666666666,1.0,High,2
35,Female,Engineering,Other,0.6333333333333332,0.92,0.8,0.1454545454545454,0.5,0.0,0.0,Low,0
42,Non-binary,Finance,UK,0.4166666666666666,0.96,0.8,0.7818181818181817,0.5,0.3333333333333333,1.0,High,1
53,Female,Other,Canada,0.9499999999999998,0.5000000000000001,0.8,0.0363636363636363,1.0,0.0,0.0,Low,2
22,Prefer not to say,Engineering,Germany,0.9166666666666666,0.7600000000000001,0.0,0.3454545454545454,0.5,0.0,0.3333333333333333,Medium,0
36,Male,Education,Australia,0.6,0.32,0.8,0.3090909090909091,0.0,0.6666666666666666,0.6666666666666666,Low,1
51,Female,Education,Germany,0.4166666666666666,0.06,1.0,0.8,0.0,1.0,0.6666666666666666,Medium,1
19,Female,Education,India,0.5166666666666665,0.4,0.1,0.0909090909090909,0.5,0.6666666666666666,0.6666666666666666,High,1
29,Prefer not to say,Other,Other,0.35,0.68,0.1,0.7272727272727273,0.0,0.3333333333333333,0.3333333333333333,High,0
20,Female,IT,Germany,0.8166666666666668,0.2,0.0,0.6909090909090909,0.5,0.6666666666666666,1.0,High,1
50,Male,Other,India,0.0999999999999999,0.64,0.1,0.5272727272727272,0.5,1.0,1.0,High,1
62,Female,Other,Germany,0.25,0.5200000000000001,0.5,0.7090909090909091,0.0,0.6666666666666666,0.6666666666666666,High,1
55,Prefer not to say,Finance,Canada,0.3333333333333333,0.8000000000000002,0.6000000000000001,0.4363636363636363,0.5,0.3333333333333333,0.6666666666666666,High,1
33,Female,Engineering,UK,0.0333333333333333,0.86,0.1,0.3272727272727272,1.0,0.3333333333333333,0.6666666666666666,High,2
58,Prefer not to say,Other,Germany,0.0333333333333333,0.82,0.8,0.6363636363636364,1.0,0.0,1.0,High,2
34,Male,Finance,UK,0.9333333333333332,0.5400000000000001,0.7000000000000001,0.0545454545454545,0.0,0.0,0.6666666666666666,Low,1
39,Female,Engineering,Australia,0.45,0.4600000000000001,0.9,0.8363636363636363,0.0,0.3333333333333333,1.0,Medium,1
